Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Ashford,Hon.,Brad,Ashford,20003994,SP,3M Company,MMM,S,10/13/2015,10/13/2015,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20003994,SP,Apache Corporation,APA,S,10/13/2015,10/13/2015,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20003708,JT,"Amazon.com, Inc",AMZN,P,09/1/2015,09/1/2015,"$15,001 - $50,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003708,JT,Apple Inc,AAPL,S,09/1/2015,09/1/2015,"$1,001 - $15,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003708,JT,Berkshire Hathaway Inc. New,BRK.B,S,09/1/2015,09/1/2015,"$1,001 - $15,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003534,JT,Berkshire Hathaway Inc. New,BRK.B,S,07/21/2015,07/21/2015,"$15,001 - $50,000",New,Sold 150 shares of Berkshire B at 143.7043 per share.
Ashford,Hon.,Brad,Ashford,20003534,JT,Costco Wholesale Corporation,COST,S,07/21/2015,07/21/2015,"$1,001 - $15,000",New,Sold 35 shares of Costco at 144.5663 per share.
Ashford,Hon.,Brad,Ashford,20003534,JT,"Facebook, Inc. - Class A",FB,P,07/21/2015,07/21/2015,"$15,001 - $50,000",New,Bought 250 shares of Facebook at 98.4868 per share.
Ashford,Hon.,Brad,Ashford,20003367,JT,Berkshire Hathaway Inc. New,BRK.B,S,07/2/2015,07/2/2015,"$15,001 - $50,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003367,JT,Costco Wholesale Corporation,COST,P,07/2/2015,07/2/2015,"$1,001 - $15,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003367,JT,union Pacific Corporation,UNP,P,07/2/2015,07/2/2015,"$15,001 - $50,000",New,Subholding of: Brad Ashford Retirement Account> Brad Ashford SEP IRA Retirement Account
Ashford,Hon.,Brad,Ashford,20003185,SP,Union Pacific Corporation,UNP,S,05/5/2015,05/5/2015,"$15,001 - $50,000",New,Subholding of: Ann Ashford Stock Account
Ashford,Hon.,Brad,Ashford,20002964,JT,Apache Corporation,APA,S,04/14/2015,04/14/2015,"$1,001 - $15,000",New,Joint Stock Account with adult daughter Eleanor Ashford
Ashford,Hon.,Brad,Ashford,20002963,SP,"Lennox International, Inc",LII,S,04/13/2015,04/13/2015,"$15,001 - $50,000",New,"Sold 250 shares of LII for a total of 27,819.49."
Ashford,Hon.,Brad,Ashford,20002949,SP,Apache Corporation,APA,S,04/12/2015,04/12/2015,"$15,001 - $50,000",New,530 shares of Apache Corporation (APA) at $67.84 per share.
Ashford,,Brad,Ashford,20002776,SP,Union Pacific Corporation,UNP,S,03/12/2015,03/12/2015,"$15,001 - $50,000",New,DC)
Ashford,Hon.,Brad,Ashford,20003528,JT,2000007834 DC Berkshire Hathaway Inc. New,BRK.B,P,02/27/2015,02/27/2015,"$15,001 - $50,000",New,DC)
Ashford,,Brad,Ashford,20002776,DC,Berkshire hathaway Inc. New,BRK.B,P,02/27/2015,02/27/2015,"$25,000,001 -",New,250 BRK B shares at $148 per share.
Barletta,Hon.,Lou,Barletta,20004311,JT,"BCE, Inc",BCE,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,ConocoPhillips,COP,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,First Trust Exchange-Traded Fund VI,FSLR,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 9039
Barletta,Hon.,Lou,Barletta,20004311,JT,PowerShares Buyback achievers,PKW,S,12/28/2015,12/28/2015,"$15,001 - $50,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,"PowerShares QQQ Trust, Series 1",QQQ,P,12/28/2015,12/28/2015,"$15,001 - $50,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,"PowerShares QQQ Trust, Series 1",QQQ,P,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 9039
Barletta,Hon.,Lou,Barletta,20004311,JT,RevenueShares Large Cap,RWL,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 9039
Barletta,Hon.,Lou,Barletta,20004311,JT,RevenueShares Ultra dividend Fund,RdIV,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,SPdR dow Jones Industrial average,,P,12/28/2015,12/28/2015,"$15,001 - $50,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,SPdR & 500,SPY,P,12/28/2015,12/28/2015,"$15,001 - $50,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,Vanguard Financials ETF - dNQ,VFH,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 7802
Barletta,Hon.,Lou,Barletta,20004311,JT,Vanguard Financials ETF - dNQ,VFH,S,12/28/2015,12/28/2015,"$1,001 - $15,000",New,Subholding of: american Enterprise 9039
Barletta,Hon.,Lou,Barletta,20002827,JT,"Kinder Morgan, Inc",KMI,S,10/29/2015,10/29/2015,"$1,001 - $15,000",New,The rationale for this transaction was to take tax losses
Barletta,Hon.,Lou,Barletta,20002827,JT,"Kinder Morgan, Inc",KMI,S,10/29/2015,10/29/2015,"$1,001 - $15,000",New,The rationale for this transaction was to take tax losses.
Barletta,Hon.,Lou,Barletta,20002550,JT,Apple Inc,AAPL,S,02/12/2015,02/12/2015,"$15,001 - $50,000",New,"Sale of 150 shares of Apple, Inc. at $126,079/share. Proceeds totaling $18,911.50."
Blumenauer,Hon.,Earl,Blumenauer,20004164,SP,Northwest Natural gas Company,NWN,S,11/19/2015,11/24/2015,"$15,001 - $50,000",New,Exercise of stock option shares
Blumenauer,Hon.,Earl,Blumenauer,20004121,SP,Northwest Natural gas Company,NWN,P,11/13/2015,11/18/2015,"$1,001 - $15,000",New,Reinvestment of dividend distribution
Blumenauer,Hon.,Earl,Blumenauer,20003664,SP,Northwest Natural gas Company,NWN,P,08/14/2015,08/19/2015,"$1,001 - $15,000",New,Reinvestment of dividend distribution.
Blumenauer,Hon.,Earl,Blumenauer,20003355,SP,Northwest Natural gas Company,NWN,S,07/1/2015,07/2/2015,"$15,001 - $50,000",New,Exercise of stock option shares
Blumenauer,Hon.,Earl,Blumenauer,20003142,SP,Northwest Natural gas Company,NWN,P,05/15/2015,05/19/2015,"$1,001 - $15,000",New,Reinvestment of dividend distribution
Blumenauer,Hon.,Earl,Blumenauer,20002778,SP,Northwest Natural gas Company,NWN,P,03/20/2015,03/24/2015,"$1,001 - $15,000",New,Contribution to retirement account.
Blumenauer,Hon.,Earl,Blumenauer,20002777,SP,Northwest Natural gas Company,NWN,P,03/1/2015,03/10/2015,"$15,001 - $50,000",New,Part of compensation and long term incentive plan
Blumenauer,Hon.,Earl,Blumenauer,20002777,SP,Northwest Natural gas Company,NWN,P,02/25/2015,03/10/2015,"$15,001 - $50,000",New,Part of compensation and long term incentive plan
