category,doc_id,member_name,message,row
invalid_date,20026727,Hon. Richard W. Allen,Invalid or missing transaction date: Bill,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20026727', 'Owner': 'US', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'Bill', 'Notification Date': '912797JR9', 'Amount': '[GS]', 'Filing Status': 'New', 'Description': 'Subholding of: SCH1'}"
invalid_date,20026727,Hon. Richard W. Allen,Invalid or missing transaction date: Bill,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20026727', 'Owner': 'US', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'Bill', 'Notification Date': '912797JR9', 'Amount': '[GS]', 'Filing Status': 'New', 'Description': 'Subholding of: SCH1'}"
invalid_date,20030397,Hon. Jake Auchincloss,Invalid or missing transaction date: Street,"{'Member': 'Auchincloss', 'Prefix': 'Hon.', 'FirstName': 'Jake', 'LastName': 'Auchincloss', 'DocID': '20030397', 'Owner': 'SP', 'Asset': '', 'Ticker': 'STT', 'Transaction Type': 'S', 'Transaction Date': 'Street', 'Notification Date': 'Corporation', 'Amount': 'Common', 'Filing Status': 'New', 'Description': 'RSU distribution'}"
invalid_date,20030635,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030635', 'Owner': 'Intel', 'Asset': 'Corporation - Common', 'Ticker': 'INTC', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '06/06/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20030482,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030482', 'Owner': 'Onto', 'Asset': 'Innovation Inc. Common', 'Ticker': 'ONTO', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '05/09/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20030212,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030212', 'Owner': 'Broadcom', 'Asset': 'Inc. - Common', 'Ticker': 'AVGO', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '04/03/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20030212,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030212', 'Owner': 'Broadcom', 'Asset': 'Inc. - Common', 'Ticker': 'AVGO', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '03/31/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20029055,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20029055', 'Owner': 'NVIDIA', 'Asset': 'Corporation - Common', 'Ticker': 'NVDA', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '03/11/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20024346,Hon. Rob Bresnahan,Invalid or missing transaction date: S,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20024346', 'Owner': 'NVIDIA', 'Asset': 'Corporation - Common', 'Ticker': 'NVDA', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '01/28/2025', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
invalid_date,20030312,Hon. Rob Bresnahan,Invalid or missing transaction date: Inc.,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030312', 'Owner': 'Meta', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'Inc.', 'Notification Date': '-', 'Amount': 'Class', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
