Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Allen,20024101,SP,US Treasury Bill 912797FH5,Government Securities and Agency Debt,P,11/16/2023,12/06/2023,"$15,001 - $50,000",New,
Allen,20024101,SP,US Treasury Bill 912797GD3,Government Securities and Agency Debt,P,11/16/2023,12/06/2023,"$15,001 - $50,000",New,
Allen,20024101,SP,US Treasury Bill 912797LL9,Government Securities and Agency Debt,P,11/16/2023,12/06/2023,"$15,001 - $50,000",New,
Axne,20022202,SP,Jefferies Financial Group Inc. ,NaN,S,12/23/2022,12/22/2022,"$1,001 - $15,000",New,
Axne,20022202,SP,Jefferies Financial Group Inc. ,NaN,S,12/23/2022,12/22/2022,"$1,001 - $15,000",New,
Beyer,20023758,JT,Wisconsin St Health & EDL 5.00%,NaN,S,09/15/2023,09/26/2023,"$1,001 - $15,000",New,"Called Security, Wisconsin St Health & EDL 5.00% 09/15/30"
Beyer,20023129,JT,Union,NaN,S,06/30/2023,07/01/2023,"$1,001 - $15,000",New,Bond reached maturity
Beyer,20023129,JT,District Columbia Go,NaN,P,06/06/2023,06/13/2023,"$15,001 - $50,000",New,"25,000 units District of Columbia Government 5.00% 06/01/35"
Beyer,20023129,JT,Virginia College Bldg,NaN,S,06/06/2023,06/13/2023,"$15,001 - $50,000",New,"tender cash receipt, Virginia College Building 4.00% 02/01/33"
Beyer,20022807,JT,New York ST MTG AGY,NaN,S,04/18/2023,04/29/2023,"$15,001 - $50,000",New,to pay 2022 taxes
Beyer,20022603,JT,Wisconsin St Health & EDL 5.00%,NaN,P,03/16/2023,03/21/2023,"$1,001 - $15,000",New,
Beyer,20022418,JT,Virginia College Bldg,NaN,S,02/01/2023,02/12/2023,"$15,001 - $50,000",New,"The municipal bond was ""Called"" -- just a redemption of the face value of the bond"
Bice,20023437,JT,US TREASURY BILL DUE,NaN,P,12/12/2022,08/03/2023,"$15,001 - $50,000",New,
Bishop,20023903,JT,United States T,Government Securities and Agency Debt,P,10/26/2023,10/26/2023,"$100,001 - $250,000",New,
Bishop,20023903,SP,United States T,Government Securities and Agency Debt,P,10/25/2023,10/25/2023,"$250,001 - $500,000",New,
Bishop,20023903,SP,United States T,Government Securities and Agency Debt,P,10/25/2023,10/25/2023,"$100,001 - $250,000",New,
Bishop,20023712,SP,United States T,Government Securities and Agency Debt,P,09/14/2023,09/14/2023,"$250,001 - $500,000",New,
Bishop,20023712,SP,United States T,Government Securities and Agency Debt,P,09/14/2023,09/14/2023,"$100,001 - $250,000",New,
Blumenauer,20022225,SP,"Amazon.Com, Inc, 4.65%29",NaN,P,12/22/2022,01/04/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022225,SP,Intel Corp 2.7%/22 Due 12/15/22,Corporate Securities (Bonds and Notes),S,12/15/2022,01/04/2023,"$15,001 - $50,000",New,Full Redemption. Part of my spouse's retirement portfolio.
Blumenauer,20024076,SP,Northwest Natural Holding Company,NaN,P,11/15/2023,11/30/2023,"$1,001 - $15,000",New,Dividend reinvestment. Part of my spouse's retirement portfolio.
Blumenauer,20024076,SP,"PayPal Holdings, Inc. ",PYPL,S,11/09/2023,12/04/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20024076,SP,International Paper Company ,IP,S,11/08/2023,12/04/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023955,SP,Toyota Motor Credit 3%/25 [CS],NaN,P,10/02/2023,11/03/2023,"$1,001 - $15,000",New,Bond interest. Part of my spouse's retirement portfolio.
Blumenauer,20023615,SP,Sysco Corporation ,SYY,P,08/24/2023,09/03/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023615,SP,Sysco Corporation ,SYY,P,08/23/2023,09/03/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023615,SP,Ford Motor Company ,F,S,08/16/2023,09/03/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023615,SP,Northwest Natural Holding Company,NaN,P,08/15/2023,08/22/2023,"$1,001 - $15,000",New,Dividend reinvestment. Part of my spouse's retirement portfolio.
Blumenauer,20023435,SP,Intercontinental Exchange Inc. ,ICE,S,07/27/2023,08/03/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023435,SP,Thermo Fisher SC 1.75%/28,Corporate Securities (Bonds and Notes),P,07/20/2023,08/03/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023435,SP,US Treasur NT 4.25%05/25,Government Securities and Agency Debt,P,07/20/2023,08/03/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023435,SP,Comcast Corp 4.65%33,Corporate Securities (Bonds and Notes),P,07/14/2023,08/03/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023218,SP,Dutch Bros Inc. Class A ,NaN,S,06/30/2023,07/11/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023218,SP,Centene Corporation ,CNC,S,06/15/2023,07/11/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023218,SP,Molina Healthcare Inc ,MOH,P,06/15/2023,07/11/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023073,SP,US TREASUR NT 2.25%03/26,Government Securities and Agency Debt,P,05/25/2023,06/08/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023073,SP,US TREASUR NT 3.5%02/33,Government Securities and Agency Debt,P,05/25/2023,06/08/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20023073,SP,Northwest Natural Holding Company,NaN,P,05/15/2023,06/05/2023,"$1,001 - $15,000",New,Dividend reinvestment. Part of my spouse's retirement portfolio.
Blumenauer,20023073,SP,"PayPal Holdings, Inc. ",PYPL,P,05/10/2023,06/08/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022667,SP,FIRST REPUBLIC BANK ,NaN,S,03/20/2023,04/05/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022667,SP,Berkshire Hathaw,NaN,S,03/15/2023,04/05/2023,"$15,001 - $50,000",New,Full redemption. Part of my spouse's retirement portfolio.
Blumenauer,20022667,SP,Bank of America Corporation ,BAC,S,03/09/2023,04/05/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022667,SP,FedEx Corporation ,FDX,S,03/09/2023,04/05/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022667,SP,SVB Financial Group ,NaN,P,03/09/2023,04/05/2023,"$1,001 - $15,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022546,SP,Northwest Natural Holding Company,NaN,P,02/15/2023,03/08/2023,"$1,001 - $15,000",New,Dividend reinvestment. Part of my spouse's retirement portfolio.
Blumenauer,20022521,SP,PayPal Holdings 4.4%32,Corporate Securities (Bonds and Notes),P,02/07/2023,03/06/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022271,SP,US Treasu NT 3.125% Due,NaN,P,01/03/2023,01/12/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Blumenauer,20022271,SP,US Treasury 5.375%02/31UST,NaN,P,01/03/2023,01/12/2023,"$15,001 - $50,000",New,Part of my spouse's retirement portfolio.
Burgess,20023623,SP,Royal Bank Of Canada ,NaN,Transaction,Date,Notification,Amount,New,
Burgess,20023786,SP,Blackstone Inc.  ,MRK,S,09/25/2023,09/26/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,"Best Buy Co., Inc. ",BBY,P,08/22/2023,08/24/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,"Prudential Financial, Inc. ",PRU,P,08/22/2023,08/24/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,Stellantis N.V. Common,NaN,P,08/22/2023,08/24/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,Alphabet Inc.,Stocks (including ADRs),S,08/14/2023,08/16/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,"Amazon.com, Inc. ",AMZN,S,08/14/2023,08/16/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,Berkshire Hathaway Inc.,BRK.B,S,08/14/2023,08/16/2023,"$15,001 - $50,000",New,
Burgess,20023612,SP,AbbVie Inc. ,ABBV,S,08/14/2023,08/16/2023,"$15,001 - $50,000",New,purchase of 100 shares
Burgess,20023623,SP,"Advanced Micro Devices, Inc. ",AMD,P,08/09/2023,08/11/2023,"$1,001 - $15,000",New,
Burgess,20023623,SP,Blackstone Inc. ,BX,P,08/09/2023,08/11/2023,"$15,001 - $50,000",New,
Burgess,20023623,SP,"United Parcel Service, Inc. ",UPS,P,08/09/2023,08/11/2023,"$15,001 - $50,000",New,
Burgess,20023382,SP,Blackstone Inc. ,BX,S,07/17/2023,07/19/2023,"$15,001 - $50,000",New,
Burgess,20023340,SP,AbbVie Inc. ,ABBV,P,07/06/2023,07/06/2023,"$15,001 - $50,000",New,
Burgess,20023340,SP,Alphabet Inc.,Stocks (including ADRs),P,07/06/2023,07/06/2023,"$15,001 - $50,000",New,
Burgess,20023340,SP,"Amazon.com, Inc. ",AMZN,P,07/06/2023,07/06/2023,"$15,001 - $50,000",New,
Burgess,20023340,SP,"Amazon.com, Inc. ",AMZN,S (partial),07/06/2023,07/06/2023,"$1,001 - $15,000",New,"The terms of the call are a strike price of $29, and an expiration of 08/11/2023"
Burgess,20023340,SP,Berkshire Hathaway Inc. New,BRK.B,P,07/06/2023,07/06/2023,"$1,001 - $15,000",New,
Burgess,20023340,SP,Chemours Company ,NaN,P,07/06/2023,07/06/2023,"$15,001 - $50,000",New,
Burgess,20023340,SP,Chemours Company ,NaN,S (partial),07/06/2023,07/06/2023,"$1,001 - $15,000",New,"Hon. Michael C. Burgess , 07/18/2023"
Burgess,20023153,SP,Blackstone Inc. ,BX,S (partial),06/01/2023,06/02/2023,"$1,001 - $15,000",New,"The terms of the call are a strike price of $89, and an expiration of 07/14/2023"
Burgess,20022685,SP,Microsoft Corporation ,TXN,S,04/10/2023,04/11/2023,"$15,001 - $50,000",New,sale of 29 shares
