Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Barletta,Mr.,Lou,Barletta,20001787,JT,Apple Inc.,AAPL,10/1/2014,10/1/2014,"$15,001",-,New,"Mr. Lou Barletta , 10/3/2014"
Barletta,Mr.,Lou,Barletta,20000998,JT,"Dunkin' Brands group, Inc.",DNKN,05/22/2014,05/22/2014,"$1,001",-,New,
Barletta,Mr.,Lou,Barletta,20000998,JT,gigamon Inc.,gIMO,05/22/2014,05/22/2014,"$1,001",-,New,"Mr. Lou Barletta , 05/22/2014"
Brooks,Mr.,Mo,Brooks,20002031,JT,seadrill Partners llC Common units,,11/3/2014,11/3/2014,"$1,001",-,New,"Mr. Mo Brooks , 11/11/2014"
Brooks,Mr.,Mo,Brooks,20001977,JT,Digirad Corporation,DRaD,10/20/2014,10/20/2014,"$1,001",-,New,"Mr. Mo Brooks , 10/30/2014"
Brooks,Mr.,Mo,Brooks,20001769,JT,Tenn Valley authority Bond,,09/8/2014,09/8/2014,"$15,001",-,New,"Mr. Mo Brooks , 09/26/2014"
Brooks,Mr.,Mo,Brooks,20001609,JT,Daphne al Ref Impt Wts,,08/11/2014,08/11/2014,"$1,001",-,New,"Mr. Mo Brooks , 09/2/2014"
Brooks,Mr.,Mo,Brooks,20000606,JT,Decatur ala City Brd Ed spl Tax sch Wts,,07/3/2014,07/3/2014,"$15,001",-,New,
Brooks,Mrs.,Susan W.,Brooks,20001428,SP,"aLEXaR THERaPEUTICS, INC.",,06/18/2014,07/19/2014,"$1,001",-,New,INVESTMENT PURCHaSE
Brooks,Mrs.,Susan W.,Brooks,20001428,SP,"aLEXaR THERaPEUTICS, INC.",,11/25/2013,07/19/2014,"$1,001",-,New,INVESTMENT PURCHaSE
Brooks,Mr.,Mo,Brooks,20000606,JT,Pike Road al OID,,06/18/2014,06/18/2014,"$1,001",-,New,"Mr. Mo Brooks , 07/9/2014"
Brooks,Mr.,Mo,Brooks,20000606,JT,Morgan stanley Cap Tr V gtd Cap secs,MWO,05/5/2014,05/5/2014,"$1,001",-,New,
Brooks,Mrs.,Susan W.,Brooks,20000780,SP,aRLINgToN WaREhoUSE,,04/17/2014,04/23/2014,"$1,001",-,New,"Mrs. Susan W. Brooks , 04/28/2014"
Brooks,Mr.,Mo,Brooks,20000606,JT,Mobile County ala Brd sch Commrscap,,04/16/2014,04/16/2014,"$1,001",-,New,
Brooks,Mr.,Mo,Brooks,20000606,JT,Etowah Cnty ala Brd Ed Cap Outlay Wts,,04/11/2014,04/11/2014,"$1,001",-,New,
Brooks,Mr.,Mo,Brooks,20000606,JT,Phenix City al sch WTs gENl OBlIg,,03/28/2014,03/28/2014,"$15,001",-,New,
Buchanan,Mr.,Vern,Buchanan,20001674,SP,harris assoc Invt Tr oakmark Intl,,08/28/2014,09/8/2014,"$1,001",-,New,"Mr. Vern Buchanan , 09/15/2014"
Cassidy,Hon.,William M.,Cassidy,20002184,SP,Rio Tinto Plc,RIO,09/11/2014,09/11/2014,"$1,001",-,New,Subholding of: Wells Fargo IRA #2
Conaway,Mr.,K. Michael,Conaway,20001407,SP,SX5E LIRN Issurer RBC Part 145.5%,,06/26/2014,07/3/2014,"$15,001",-,New,SX5E LIRN Issurer RBC Part 145.5% Due 06//28/19
Conaway,Mr.,K. Michael,Conaway,20001407,SP,SX5E LIRN Issurer RBC Part 145.5%,,06/26/2014,07/3/2014,"$50,001",-,New,SX5E LIRN Issurer RBC Part 145.5% Due 06//28/19
Conaway,Mr.,K. Michael,Conaway,20001407,SP,SX5E LIRN Issurer RBC Part 145.5%,,06/26/2014,07/3/2014,"$15,001",-,New,SX5E LIRN Issurer RBC Part 145.5% Due 06//28/19
Conaway,Mr.,K. Michael,Conaway,20001407,SP,SX5E LIRN Issurer RBC Part 145.5%,,06/26/2014,07/3/2014,"$15,001",-,New,SX5E LIRN Issurer RBC Part 145.5% Due 06//28/19
Conaway,Mr.,K. Michael,Conaway,20001081,SP,Dallas Fort Worth TexIntl airport,,05/13/2014,05/16/2014,"$50,001",-,New,Subholding of: SP M40
Conaway,Mr.,K. Michael,Conaway,20001081,SP,bexar Cnty Tex Rev 4.000% 08/15/2033,,05/12/2014,05/15/2014,"$50,001",-,New,Subholding of: SP M40
Conaway,Mr.,K. Michael,Conaway,20001081,SP,Marble Falls Tex CTFS oblig 5.000%,Marriott International,05/12/2014,05/15/2014,"$50,001",-,New,Subholding of: SP M40
Conaway,Mr.,K. Michael,Conaway,20001081,SP,M40,,M40,(owner:,SP),,New,"Mr. K. Michael Conaway , 06/4/2014"
Conaway,Mr.,K. Michael,Conaway,20001407,SP,M36,,M36,(Owner:,SP),,New,
Conaway,Mr.,K. Michael,Conaway,20001407,SP,M40,,M40,(Owner:,SP),,New,"Mr. K. Michael Conaway , 07/26/2014"
Connolly,Mr.,Gerald E.,Connolly,20001925,JT,"Dominion Resources, Inc.",D,09/24/2014,09/24/2014,"$1,001",-,New,"Mr. Gerald E. Connolly , 10/20/2014"
Connolly,Mr.,Gerald E.,Connolly,20001352,JT,"Dominion Resources, Inc.",D,06/25/2014,07/18/2014,"$1,001",-,New,"Mr. Gerald E. Connolly , 07/18/2014"
Connolly,Mr.,Gerald E.,Connolly,20000790,JT,"Dominion Resources, Inc.",D,03/26/2014,04/2/2014,"$1,001",-,New,"Mr. Gerald E. Connolly , 04/29/2014"
DelBene,Ms.,Suzan K.,DelBene,20001077,JT,"Cree, Inc.  P 05/12/2014 05/12/2014 $15,001",CREE,Asset,Transaction,Date,Notification,New,
