Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Allen,20018021,SP,"Dominion Energy, Inc. ",D,S,12/15/2020,12/18/2020,"$15,001 - $50,000",New,
Allen,20019561,SP,Dover Corporation ,DOV,P,06/16/2020,06/22/2020,"$15,001 - $50,000",New,
Allen,20019775,SP,Dover Corporation ,DOV,P,06/15/2021,06/19/2020,"$15,001 - $50,000",New,
Allen,20019653,SP,Truist Financial Corporation,TFC,S,04/15/2020,04/22/2020,"$15,001 - $50,000",New,
Allen,20019790,SP,Freeport,NaN,10/06/2021,"$1,001",-,"$15,001 - $50,000",New,
Allen,20019790,SP,"PayPal Holdings, Inc. ",NaN,10/26/2021,"$1,001",-,"$15,001 - $50,000",New,
Allen,20019653,SP,3M Company ,MMM,05/20/2020,"$1,001",-,"$15,001 - $50,000",New,
Allen,20019653,SP,"Home Depot, Inc. ",HD,05/20/2020,"$1,001",-,"$15,001 - $50,000",New,
Allen,20019653,SP,Walmart Inc. ,WMT,02/26/2020,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,global Payments Inc. ,NaN,11/18/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,global Payments Inc. ,NaN,11/18/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,Markel Corporation ,NaN,11/12/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,Markel Corporation ,NaN,11/12/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,Mastercard Incorporated ,MA,11/24/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019824,SP,Visa Inc. ,V,11/24/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019685,SP,berkshire Hathaway Inc. New S ,NaN,10/25/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019685,SP,Mastercard Incorporated ,MA,10/25/2021,"$1,001",-,"$15,001 - $50,000",New,
Axne,20019685,SP,Visa Inc. ,V,10/25/2021,"$1,001",-,"$15,001 - $50,000",New,
Banks,20020002,JT,"Peloton Interactive, Inc. ",NaN,11/18/2021,"$1,001",-,"$15,001 - $50,000",New,
Banks,20020002,JT,Roblox Corporation Class A S,NaN,11/12/2021,"$1,001",-,"$15,001 - $50,000",New,
Banks,20020002,JT,Roblox Corporation Class A P,NaN,11/23/2021,"$1,001",-,"$15,001 - $50,000",New,
Banks,20019642,JT,Kroger Company ,KR,09/07/2021,"$1,001",-,"$15,001 - $50,000",New,
Banks,20019642,JT,Roblox Corporation Class A S,NaN,09/13/2021,"$1,001",-,"$15,001 - $50,000",New,
